state,total_county_population,poverty_rate,black_pct,hispanic_pct,tanf_eligible_adults,snap_eligible,State,Total_Families,TANF_Adults_Final,tanf_participation_rate
Alabama,5028092,18.414328358208955,28.478358208955225,3.8916417910447763,370355.74841313437,2096714.3639999998,Alabama,5663.5,6796.2,0.018350464463207934
Alaska,734821,12.074333333333334,1.5450000000000002,5.929,35489.894777333335,306420.35699999996,Alaska,1555.5,1866.6,0.05259525314772584
Arizona,7172282,17.594,2.0220000000000002,32.024,504756.51803200005,2990841.594,Arizona,5750.5,6900.599999999999,0.013671145896054624
Arkansas,3018669,18.32,16.048266666666667,5.702133333333333,221208.06432,1258784.973,Arkansas,1192.75,1431.3,0.00647037893668053
California,39356104,13.179137931034482,3.0436206896551723,31.718275862068968,2074718.092176552,16411495.367999999,California,269504.9166666667,323405.9,0.15587944271538132
Colorado,5770790,12.26703125,1.46734375,20.4740625,283161.84506875003,2406419.4299999997,Colorado,11775.166666666666,14130.199999999999,0.04990149713344773
Connecticut,3611317,9.805555555555555,8.526666666666666,15.258888888888887,141643.8778888889,1505919.189,Connecticut,4733.583333333333,5680.299999999999,0.04010268629086711
Delaware,993635,11.49,20.77,9.353333333333333,45667.46460000001,414345.795,Delaware,2799.0833333333335,3358.9,0.07355126958372897
District of Columbia,670587,15.1,44.3,11.51,40503.45480000001,279634.779,District of Columbia,5511.833333333333,6614.2,0.1632996501819395
Florida,21634529,14.921044776119404,13.815671641791045,15.272985074626865,1291239.103677015,9021598.593,Florida,27533.75,33040.5,0.025588212056087644
Georgia,10722325,17.72440251572327,27.884654088050315,7.093459119496854,760187.2168176101,4471209.524999999,Georgia,6441.083333333333,7729.299999999999,0.010167626906905055
Hawaii,1450589,11.084,1.318,11.86,64313.313903999995,604895.613,Hawaii,4526.75,5432.099999999999,0.08446307102303038
Idaho,1854109,12.485000000000001,0.39499999999999996,13.61431818181818,92594.20346000002,773163.453,Idaho,1547.0,1856.3999999999999,0.02004877120414941
Illinois,12735692,12.688910891089108,5.081584158415842,5.444356435643565,646408.2436974258,5310783.563999999,Illinois,10212.25,12254.699999999999,0.01895814312315027
Indiana,6761095,11.769010989010988,2.774945054945055,4.49989010989011,318285.605410989,2819376.6149999998,Indiana,4437.5,5325.0,0.016730257069351433
Iowa,3188836,10.665353535353534,1.4846464646464645,5.383333333333334,136040.2532250505,1329744.612,Iowa,4835.166666666667,5802.2,0.04265061158333379
Kansas,2935922,11.736571428571429,1.8574285714285714,10.751333333333335,137830.63304685714,1224279.474,Kansas,3107.0833333333335,3728.5,0.027051315934480638
Kentucky,4502935,19.1545,3.4947500000000002,2.6363333333333334,345005.87383,1877723.895,Kentucky,11704.833333333334,14045.800000000001,0.040711770626029986
Louisiana,4640546,21.2046875,31.05078125,4.00859375,393605.3110375,1935107.682,Louisiana,3294.25,3953.1,0.010043309602657714
Maine,1366949,12.379375,1.04,1.8375,67687.8971075,570017.733,Maine,3437.4166666666665,4124.9,0.06093999335581293
Maryland,6161707,9.963333333333333,20.375416666666666,6.83625,245564.5629733333,2569431.8189999997,Maryland,15490.75,18588.899999999998,0.07569862595369117
Massachusetts,6984205,9.742857142857144,6.215714285714285,10.774285714285714,272184.44628571434,2912413.485,Massachusetts,31967.25,38360.7,0.14093641471244261
Michigan,10057921,13.205180722891566,3.8809638554216868,3.944457831325301,531266.6580062651,4194153.057,Michigan,8483.833333333334,10180.6,0.019162881476894687
Minnesota,5695292,10.018045977011495,1.9570114942528734,5.073793103448276,228222.788434023,2374936.764,Minnesota,14354.833333333334,17225.8,0.07547800164127699
Mississippi,2907458,21.827407407407406,41.35666666666666,2.6582716049382715,253849.0811437037,1212409.986,Mississippi,1630.5,1956.6,0.007707729297993286
Missouri,6154422,15.141565217391305,3.4801739130434783,3.2363478260869565,372750.3283533914,2566393.974,Missouri,5589.666666666667,6707.6,0.01799488689823705
Montana,1091840,13.866607142857143,0.4232142857142857,3.3649999999999998,60560.465371428574,455297.27999999997,Montana,1895.8333333333333,2275.0,0.03756576152522942
Nebraska,1958939,10.19010752688172,0.9712903225806452,7.531290322580645,79847.1961944086,816877.563,Nebraska,2805.5,3366.6,0.042163033399483976
Nevada,3104817,11.855882352941178,2.942941176470588,19.793529411764705,147241.38031764707,1294708.689,Nevada,6095.083333333333,7314.099999999999,0.049674215116845076
New Hampshire,1379610,8.681000000000001,1.207,2.874,47905.57764000001,575297.37,New Hampshire,2623.0,3147.6,0.06570424896352423
New Jersey,9249063,9.472857142857142,11.746190476190478,18.548571428571428,350460.2100171429,3856859.2709999997,New Jersey,9071.833333333334,10886.2,0.03106258482087738
New Mexico,2112463,19.809393939393942,1.5030303030303032,49.29424242424243,167386.4469975758,880897.071,New Mexico,10858.666666666666,13030.4,0.07784620698824388
New York,19994379,12.934516129032257,6.025645161290322,8.365645161290322,1034470.4706619356,8337656.043,New York,77207.41666666667,92648.90000000001,0.08956166717906984
North Carolina,10266528,15.627171717171716,19.773333333333333,7.948787878787878,641747.183980606,4281142.176,North Carolina,12353.083333333334,14823.7,0.02309897163560905
North Dakota,776874,11.264716981132075,1.0247169811320755,3.450188679245283,35005.06296,323956.458,North Dakota,715.8333333333334,859.0,0.024539307384808084
Ohio,11774683,12.972499999999998,4.108068181818182,3.059772727272727,610988.3008699999,4910042.811,Ohio,42411.083333333336,50893.3,0.08329668494066399
Oklahoma,3970497,16.577272727272728,3.3903896103896103,10.242987012987014,263280.04652727273,1655697.2489999998,Oklahoma,3784.6666666666665,4541.599999999999,0.017250072916291218
Oregon,3488974,13.18060606060606,0.7596969696969698,13.024848484848485,183947.1673987879,1454902.1579999998,Oregon,16810.166666666668,20172.2,0.10966300968510008
Pennsylvania,12897868,11.725757575757575,4.513939393939395,5.035151515151515,604949.0936484848,5378410.955999999,Pennsylvania,28650.583333333332,34380.7,0.056832385337827196
Puerto Rico,3272382,45.25397435897436,8.549615384615384,98.76794871794871,592353.1644830769,1364583.294,Puerto Rico,3628.75,4354.5,0.007351188887122768
Rhode Island,1094250,8.8,3.414,8.742,38517.600000000006,456302.25,Rhode Island,2824.25,3389.1,0.08798834818368745
South Carolina,4996123,17.989545454545453,34.024772727272726,5.267045454545454,359511.92721999995,2083383.291,South Carolina,6479.583333333333,7775.499999999999,0.021627933348764405
South Dakota,888202,15.169846153846153,0.8039999999999999,3.477846153846154,53895.550774153846,370380.234,South Dakota,2345.5833333333335,2814.7000000000003,0.052225090189630605
Tennessee,6249127,16.00934065934066,6.909999999999999,3.805274725274725,400177.6118659341,2605885.959,Tennessee,13550.833333333334,16261.0,0.04063445709563506
Texas,29137595,15.236600000000001,6.22408,35.73044,1775831.5199080002,12150377.115,Texas,11815.916666666666,14179.099999999999,0.00798448492497451
Utah,3248800,10.855714285714285,0.5125000000000001,9.415714285714285,141072.1782857143,1354749.5999999999,Utah,1964.25,2357.1,0.016708468166034492
Vermont,643816,10.203571428571427,0.8978571428571429,2.0028571428571427,26276.890171428568,268471.272,Vermont,1781.5,2137.7999999999997,0.08135665925659939
Virginia,8584119,13.072121212121212,18.102575757575757,6.146590909090909,448850.57626909093,3579577.6229999997,Virginia,18764.583333333332,22517.499999999996,0.05016702927546316
Washington,7688549,12.371794871794872,1.4512820512820512,15.273333333333332,380484.6043589744,3206124.9329999997,Washington,29633.25,35559.9,0.09345949768430166
West Virginia,1792967,17.376727272727273,2.3905454545454545,1.505090909090909,124623.594272,747667.239,West Virginia,5320.666666666667,6384.8,0.05123267417616533
Wisconsin,5882128,10.381527777777778,1.665138888888889,4.270972222222222,244261.90089777778,2452847.3759999997,Wisconsin,11817.166666666666,14180.599999999999,0.0580548990566257
Wyoming,577929,11.18695652173913,0.4978260869565217,8.997391304347826,25861.066382608697,240996.39299999998,Wyoming,451.4166666666667,541.7,0.02094654535840362
