snap_mult,tanf_mult,ssi_mult,rev_mult,tanf_enrolled,snap_enrolled,ssi_enrolled,tanf_error,snap_error,ssi_error,mean_error
2.0,0.025,0.005,0.025,1269,10151,597,0.044444444444444446,0.2756012274316706,0.7204610951008645,0.3468355889923265
2.0,0.025,0.005,0.05,1288,10153,594,0.060082304526748974,0.2754585028188111,0.7118155619596542,0.34911878976840477
2.0,0.025,0.01,0.025,1278,10141,596,0.05185185185185185,0.27631485049596805,0.7175792507204611,0.3485819843560937
2.0,0.025,0.01,0.05,1269,10141,598,0.044444444444444446,0.27631485049596805,0.723342939481268,0.3480340781405602
2.0,0.025,0.015,0.025,1269,10135,604,0.044444444444444446,0.2767430243345465,0.7406340057636888,0.3539404915142266
2.0,0.025,0.015,0.05,1261,10130,605,0.03786008230452675,0.27709983586669523,0.7435158501440923,0.3528252561051048
3.0,0.025,0.005,0.025,1274,10152,577,0.048559670781893,0.27552986512524086,0.6628242074927954,0.3289712477999764
3.0,0.025,0.005,0.05,1262,10152,589,0.03868312757201646,0.27552986512524086,0.6974063400576369,0.33720644425163143
3.0,0.025,0.01,0.025,1280,10141,582,0.053497942386831275,0.27631485049596805,0.6772334293948127,0.3356820740925373
3.0,0.025,0.01,0.05,1258,10136,592,0.03539094650205761,0.27667166202811677,0.7060518731988472,0.33937149390967386
3.0,0.025,0.015,0.025,1263,10131,595,0.03950617283950617,0.27702847356026544,0.7146974063400576,0.3437440175799431
3.0,0.025,0.015,0.05,1263,10128,562,0.03950617283950617,0.2772425604795547,0.6195965417867435,0.3121150917019348
4.0,0.025,0.005,0.025,1267,10151,564,0.04279835390946502,0.2756012274316706,0.6253602305475504,0.31458660396289534
4.0,0.025,0.005,0.05,1282,10153,571,0.0551440329218107,0.2754585028188111,0.6455331412103746,0.32537855898366547
4.0,0.025,0.01,0.025,1264,10148,601,0.040329218106995884,0.27581531435095985,0.7319884726224783,0.34937766836014467
4.0,0.025,0.01,0.05,1268,10148,592,0.043621399176954734,0.27581531435095985,0.7060518731988472,0.3418295289089206
4.0,0.025,0.015,0.025,1269,10128,642,0.044444444444444446,0.2772425604795547,0.8501440922190202,0.3906103657143398
4.0,0.025,0.015,0.05,1242,10128,587,0.022222222222222223,0.2772425604795547,0.69164265129683,0.3303691446662023
