county_name,total_county_population,median_household_income,aggregate_household_income,per_capita_income,median_family_income,poverty_status_total_population,income_below_poverty_level,poverty_white_alone_total,poverty_white_alone_below_poverty,poverty_black_alone_total,poverty_black_alone_below_poverty,poverty_hispanic_total,poverty_hispanic_below_poverty,poverty_ratio_total,poverty_ratio_under_50_pct,poverty_ratio_50_99_pct,poverty_children_under_18_total,poverty_children_under_18_below_poverty,snap_total_households,snap_received_past_12mo,public_assistance_total_households,public_assistance_received,ssi_total_households,ssi_received,health_insurance_total,health_insurance_no_coverage,medicaid_means_tested_total,medicaid_means_tested_coverage,education_total_25_plus,education_high_school_diploma,education_bachelors_degree,education_masters_degree,employment_pop_16_plus,employment_civilian_labor_force,employment_employed,employment_unemployed,disability_total_pop,disability_male_under_5_with_disability,disability_male_5_17_with_disability,disability_male_18_34_with_disability,disability_male_35_64_with_disability,disability_male_65_74_with_disability,disability_male_75_plus_with_disability,disability_female_under_5_with_disability,disability_female_5_17_with_disability,disability_female_18_34_with_disability,disability_female_35_64_with_disability,disability_female_65_74_with_disability,disability_female_75_plus_with_disability,rent_burden_total_renters,rent_burden_50_plus_pct,median_gross_rent,families_with_children_total,families_female_householder_with_children,total_population,white_alone,black_alone,asian_alone,total_population_ethnicity,hispanic_or_latino,total_households,average_household_size,total_households_composition,family_households,married_couple_family,householder_living_alone,total_population_gender,male_population,female_population,median_age,median_home_value,language_total_5_plus,language_speak_only_english,english_proficiency_total_5_plus,english_speak_not_well,nativity_total,foreign_born,vehicles_total_households,vehicles_none,mean_travel_time_to_work,veteran_total_18_plus,veteran_population,state_fips,county_fips,white_pct,black_pct,asian_pct,hispanic_pct,male_pct,female_pct,family_household_pct,snap_participation_rate,public_assistance_rate,ssi_rate,poverty_rate,uninsured_rate,medicaid_rate,child_poverty_rate,white_poverty_rate,black_poverty_rate,hispanic_poverty_rate,deep_poverty_rate,near_poverty_rate,hs_graduate_rate,bachelors_plus_rate,labor_force_participation_rate,unemployment_rate,employment_rate,disability_rate,rent_burden_severe_50_plus,single_parent_rate,veteran_rate,english_only_rate,limited_english_rate,foreign_born_rate,no_vehicle_rate,data_pulled_date,acs_year
"Autauga County, Alabama",58761,68315,2016029200,35332,83790,58291,6630,43430,4089,11358,1947,1862,266,58291,3116,3514,13625,1806,22308,2014,22308,218,22308,1372,57443,20,57443,2522,40188,10001,6726,4014,47146,27163,26411,752,57443,0,494,561,1876,805,1023,11,268,519,1784,742,1342,5476,892,1199,12051,1756,58761,43747,11496,658,58761,1864,22308,2.61,22308,15363,11889,6069,58761,28663,30098,39.0,191800,,,22308,3,58761,1552,22308,326,692810.0,44052,5097,01,001,74.45,19.56,1.12,3.17,48.78,51.22,68.87,9.03,0.98,6.15,11.37,0.03,4.39,13.26,9.42,17.14,14.29,5.35,6.03,24.89,26.72,57.61,2.77,56.02,16.41,16.29,14.57,11.57,,0.01,2.64,1.46,2025-11-24 04:14:22,2022
"Baldwin County, Alabama",233420,71039,8719426400,38907,89953,229539,23445,193550,15665,18560,4549,10777,2973,229539,9347,14098,48406,6181,90802,6633,90802,911,90802,4020,230074,441,230074,9356,167022,38059,33474,15077,189569,111079,107254,3825,230074,0,1026,1862,5138,3863,3665,27,837,1682,5749,3320,4709,20094,4227,1160,41903,6086,233420,195998,19445,2046,233420,11210,90802,2.53,90802,61277,51019,25747,233420,114077,119343,43.7,266000,,,90802,581,233420,8106,90802,1121,,183337,20740,01,003,83.97,8.33,0.88,4.8,48.87,51.13,67.48,7.3,1.0,4.43,10.21,0.19,4.07,12.77,8.09,24.51,27.59,4.07,6.14,22.79,29.07,58.6,3.44,56.58,13.86,21.04,14.52,11.31,,0.64,3.47,1.23,2025-11-24 04:14:22,2022
"Barbour County, Alabama",24877,39712,542109600,23378,55672,21851,5280,9998,1115,10134,3371,1114,693,21851,2879,2401,5091,1863,9016,2142,9016,128,9016,837,21892,6,21892,1826,17675,5136,1167,640,20399,8968,8452,516,21892,0,195,318,519,364,424,0,159,154,685,432,720,3158,456,627,4181,1981,24877,11309,11668,126,24877,1202,9016,2.43,9016,5722,3431,3101,24877,12973,11904,40.6,102700,,,9016,196,24877,776,9016,239,,19726,1303,01,005,45.46,46.9,0.51,4.83,52.15,47.85,63.46,23.76,1.42,9.28,24.16,0.03,8.34,36.59,11.15,33.26,62.21,13.18,10.99,29.06,10.22,43.96,5.75,41.43,18.13,14.44,47.38,6.61,,2.17,3.12,2.65,2025-11-24 04:14:22,2022
"Bibb County, Alabama",22251,50669,469986000,24966,70064,20836,4297,16233,2604,3856,1615,637,208,20836,2667,1630,4655,1659,7216,1449,7216,228,7216,524,20850,0,20850,1234,15925,5261,1047,507,18046,9028,8242,786,20850,0,272,439,1248,162,299,5,74,159,621,290,528,1751,381,765,3425,499,22251,16872,4603,69,22251,650,7216,2.89,7216,4871,3617,2167,22251,11897,10354,40.3,120100,,,7216,12,22251,244,7216,216,237180.0,17536,1362,01,007,75.83,20.69,0.31,2.92,53.47,46.53,67.5,20.08,3.16,7.26,20.62,0.0,5.92,35.64,16.04,41.88,32.65,12.8,7.82,33.04,9.76,50.03,8.71,45.67,19.65,21.76,14.57,7.77,,0.17,1.1,2.99,2025-11-24 04:14:22,2022
"Blount County, Alabama",59077,57440,1642575700,29053,73528,58399,8277,53419,7056,608,89,5698,1871,58399,3078,5199,13211,2189,21626,2334,21626,444,21626,1852,58587,100,58587,3031,40817,11248,3840,1751,47261,26434,24856,1578,58587,6,311,448,2299,849,979,25,234,467,2303,697,1330,4482,800,734,11042,2185,59077,53941,729,100,59077,5721,21626,2.7,21626,15416,12066,5495,59077,29864,29213,40.8,159800,,,21626,340,59077,2843,21626,362,816105.0,45488,3040,01,009,91.31,1.23,0.17,9.68,50.55,49.45,71.28,10.79,2.05,8.56,14.17,0.17,5.17,16.57,13.21,14.64,32.84,5.27,8.9,27.56,13.7,55.93,5.97,52.59,16.98,17.85,19.79,6.68,,1.57,4.81,1.67,2025-11-24 04:14:22,2022
"Bullock County, Alabama",10328,36136,180327600,22115,43750,9616,2687,2192,331,6643,2168,880,348,9616,1168,1519,2149,979,3450,969,3450,6,3450,342,9640,20,9640,1149,7156,2515,492,93,8376,3888,3744,144,9640,28,7,94,412,66,130,0,0,10,151,74,106,1219,302,619,1719,991,10328,2397,7117,43,10328,907,3450,2.78,3450,2248,1184,1095,10328,5542,4786,39.2,87700,,,3450,32,10328,389,3450,179,,8153,380,01,011,23.21,68.91,0.42,8.78,53.66,46.34,65.16,28.09,0.17,9.91,27.94,0.21,11.92,45.56,15.1,32.64,39.55,12.15,15.8,35.15,8.17,46.42,3.7,44.7,11.18,24.77,57.65,4.66,,0.93,3.77,5.19,2025-11-24 04:14:22,2022
"Butler County, Alabama",18981,44429,470560400,26334,59217,18652,3937,9520,1020,8397,2754,322,85,18652,1391,2546,4196,1356,7131,1096,7131,102,7131,719,18686,0,18686,1093,13266,5521,1029,542,15203,8043,7495,548,18686,0,109,169,654,220,293,0,47,173,512,309,534,2084,472,720,3225,1197,18981,9777,8462,243,18981,322,7131,2.61,7131,4620,3241,2263,18981,8928,10053,41.6,94800,,,7131,24,18981,322,7131,144,,14743,1034,01,013,51.51,44.58,1.28,1.7,47.04,52.96,64.79,15.37,1.43,10.08,21.11,0.0,5.85,32.32,10.71,32.8,26.4,7.46,13.65,41.62,11.84,52.9,6.81,49.3,16.16,22.65,37.12,7.01,,0.34,1.7,2.02,2025-11-24 04:14:22,2022
"Calhoun County, Alabama",116162,54339,3093341500,28227,68959,112350,20267,80888,11675,24522,6395,4576,1811,112350,9669,10598,23760,5403,44693,7908,44693,977,44693,3581,114576,79,114576,7109,78931,21599,9098,4121,94627,53147,49455,3692,114576,58,877,1348,4706,2398,1586,1,455,1175,5615,2236,2668,12999,2783,806,19915,6012,116162,83306,25631,765,116162,4736,44693,2.52,44693,28213,19177,14103,116162,56185,59977,39.2,140500,,,44693,402,116162,2698,44693,786,,91189,8128,01,015,71.72,22.06,0.66,4.08,48.37,51.63,63.13,17.69,2.19,8.01,18.04,0.07,6.2,22.74,14.43,26.08,39.58,8.61,9.43,27.36,16.75,56.16,6.95,52.26,20.18,21.41,30.19,8.91,,0.9,2.32,1.76,2025-11-24 04:14:22,2022
"Chambers County, Alabama",34612,48805,846109100,27006,60000,34008,6080,19356,3040,13828,2976,1107,433,34008,2205,3875,7123,2165,13143,2205,13143,130,13143,1238,34130,50,34130,2275,24706,7991,2273,737,28036,15631,15072,559,34130,0,61,147,1491,787,605,23,152,302,1752,883,910,3657,533,842,5773,1939,34612,19642,14114,60,34612,1129,13143,2.58,13143,8880,5775,3691,34612,16485,18127,42.2,116900,,,13143,67,34612,508,13143,350,,27361,1977,01,017,56.75,40.78,0.17,3.26,47.63,52.37,67.56,16.78,0.99,9.42,17.88,0.15,6.67,30.39,15.71,21.52,39.11,6.48,11.39,32.34,12.18,55.75,3.58,53.76,20.84,14.57,33.59,7.23,,0.51,1.47,2.66,2025-11-24 04:14:22,2022
"Cherokee County, Alabama",25069,46621,656446100,28422,63429,24658,3516,22626,3035,923,103,475,197,24658,1138,2378,4580,822,9997,1130,9997,161,9997,617,24779,3,24779,990,18523,5386,1530,832,20956,10713,10288,425,24779,0,203,299,966,449,467,0,168,174,1149,443,708,2025,96,700,3821,601,25069,22884,1008,27,25069,479,9997,2.48,9997,6609,5257,3061,25069,12261,12808,46.8,158700,,,9997,148,25069,493,9997,143,,20343,1416,01,019,91.28,4.02,0.11,1.91,48.91,51.09,66.11,11.3,1.61,6.17,14.26,0.01,4.0,17.95,13.41,11.16,41.47,4.62,9.64,29.08,12.75,51.12,3.97,49.09,20.28,4.74,15.73,6.96,,1.48,1.97,1.43,2025-11-24 04:14:22,2022
